dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,40.000000,17.750000,0.000050,0.009991,0.999103,99.910274,1.570796
0.010000,40.000000,17.750000,0.000250,0.029973,1.998205,99.910274,1.570796
0.010000,40.000000,17.750000,0.000699,0.059946,2.997308,99.910274,1.570796
0.010000,40.000000,17.750000,0.001499,0.099910,3.996411,99.910274,1.570796
0.010000,40.000000,17.750505,0.002748,0.149865,4.995514,99.910274,1.570796
0.010000,40.000000,17.752303,0.004546,0.209812,5.994616,99.910274,1.570796
0.010000,40.000000,17.754751,0.006994,0.279749,6.993719,99.910274,1.570796
0.010000,40.000000,17.757948,0.010191,0.359677,7.992822,99.910274,1.570796
0.010000,40.000000,17.761995,0.014237,0.449596,8.991925,99.910274,1.570796
0.010000,40.000000,17.766990,0.019233,0.549507,9.991027,99.910274,1.570796
0.010000,40.000000,17.772985,0.025227,0.649417,9.991027,-0.000000,1.570796
0.010000,40.000000,17.779979,0.032221,0.749327,9.991027,0.000000,1.570796
0.010000,40.000000,17.787971,0.040214,0.849237,9.991027,-0.000000,1.570796
0.010000,40.000000,17.796963,0.049206,0.949148,9.991027,0.000000,1.570796
0.010000,40.000000,17.806954,0.059197,1.049058,9.991027,0.000000,1.570796
0.010000,40.000000,17.817944,0.070187,1.148968,9.991027,-0.000000,1.570796
0.010000,40.000000,17.829934,0.082176,1.248878,9.991027,0.000000,1.570796
0.010000,40.000000,17.842922,0.095165,1.348789,9.991027,-0.000000,1.570796
0.010000,40.000000,17.856909,0.109152,1.448699,9.991027,0.000000,1.570796
0.010000,40.000000,17.871896,0.124139,1.548609,9.991027,-0.000000,1.570796
0.010000,40.000000,17.887882,0.140124,1.648520,9.991027,0.000000,1.570796
0.010000,40.000000,17.904866,0.157109,1.748430,9.991027,0.000000,1.570796
0.010000,40.000000,17.922850,0.175093,1.848340,9.991027,-0.000000,1.570796
0.010000,40.000000,17.941833,0.194076,1.948250,9.991027,0.000000,1.570796
0.010000,40.000000,17.961815,0.214058,2.048161,9.991027,0.000000,1.570796
0.010000,40.000000,17.982796,0.235039,2.148071,9.991027,-0.000000,1.570796
0.010000,40.000000,18.004777,0.257019,2.247981,9.991027,0.000000,1.570796
0.010000,40.000000,18.027756,0.279999,2.347891,9.991027,0.000000,1.570796
0.010000,40.000000,18.051735,0.303977,2.447802,9.991027,0.000000,1.570796
0.010000,40.000000,18.076712,0.328955,2.547712,9.991027,0.000000,1.570796
0.010000,40.000000,18.102689,0.354931,2.647622,9.991027,-0.000000,1.570796
0.010000,40.000000,18.129665,0.381907,2.747533,9.991027,0.000000,1.570796
0.010000,40.000000,18.157639,0.409882,2.847443,9.991027,0.000000,1.570796
0.010000,40.000000,18.186613,0.438856,2.947353,9.991027,0.000000,1.570796
0.010000,40.000000,18.216586,0.468829,3.047263,9.991027,-0.000000,1.570796
0.010000,40.000000,18.247559,0.499801,3.147174,9.991027,0.000000,1.570796
0.010000,40.000000,18.279530,0.531772,3.247084,9.991027,0.000000,1.570796
0.010000,40.000000,18.312500,0.564743,3.346994,9.991027,-0.000000,1.570796
0.010000,40.000000,18.346470,0.598712,3.446904,9.991027,0.000000,1.570796
0.010000,40.000000,18.381438,0.633681,3.546815,9.991027,0.000000,1.570796
0.010000,40.000000,18.417406,0.669649,3.646725,9.991027,0.000000,1.570796
0.010000,40.000000,18.454373,0.706615,3.746635,9.991027,-0.000000,1.570796
0.010000,40.000000,18.492339,0.744581,3.846546,9.991027,0.000000,1.570796
0.010000,40.000000,18.531304,0.783546,3.946456,9.991027,-0.000000,1.570796
0.010000,40.000000,18.571268,0.823510,4.046366,9.991027,0.000000,1.570796
0.010000,40.000000,18.612231,0.864474,4.146276,9.991027,-0.000000,1.570796
0.010000,40.000000,18.654193,0.906436,4.246187,9.991027,0.000000,1.570796
0.010000,40.000000,18.697155,0.949397,4.346097,9.991027,0.000000,1.570796
0.010000,40.000000,18.741115,0.993358,4.446007,9.991027,0.000000,1.570796
0.010000,40.000000,18.786075,1.038318,4.545917,9.991027,-0.000000,1.570796
0.010000,40.000000,18.832034,1.084276,4.645828,9.991027,0.000000,1.570796
0.010000,40.000000,18.878992,1.131234,4.745738,9.991027,0.000000,1.570796
0.010000,40.000000,18.926949,1.179191,4.845648,9.991027,-0.000000,1.570796
0.010000,40.000000,18.975905,1.228147,4.945559,9.991027,0.000000,1.570796
0.010000,40.000000,19.025860,1.278102,5.045469,9.991027,-0.000000,1.570796
0.010000,40.000000,19.076814,1.329056,5.145379,9.991027,0.000000,1.570796
0.010000,40.000000,19.128767,1.381010,5.245289,9.991027,-0.000000,1.570796
0.010000,40.000000,19.181720,1.433962,5.345200,9.991027,0.000000,1.570796
0.010000,40.000000,19.235671,1.487914,5.445110,9.991027,0.000000,1.570796
0.010000,40.000000,19.290622,1.542864,5.545020,9.991027,-0.000000,1.570796
0.010000,40.000000,19.346572,1.598814,5.644930,9.991027,0.000000,1.570796
0.010000,40.000000,19.403521,1.655763,5.744841,9.991027,-0.000000,1.570796
0.010000,40.000000,19.461468,1.713711,5.844751,9.991027,0.000000,1.570796
0.010000,40.000000,19.520416,1.772658,5.944661,9.991027,-0.000000,1.570796
0.010000,40.000000,19.580362,1.832604,6.044572,9.991027,0.000000,1.570796
0.010000,40.000000,19.641307,1.893549,6.144482,9.991027,0.000000,1.570796
0.010000,40.000000,19.703251,1.955494,6.244392,9.991027,0.000000,1.570796
0.010000,40.000000,19.766195,2.018437,6.344302,9.991027,0.000000,1.570796
0.010000,40.000000,19.830137,2.082380,6.444213,9.991027,0.000000,1.570796
0.010000,40.000000,19.895079,2.147322,6.544123,9.991027,0.000000,1.570796
0.010000,40.000000,19.961020,2.213262,6.644033,9.991027,0.000000,1.570796
0.010000,40.000000,20.027960,2.280202,6.743943,9.991027,-0.000000,1.570796
0.010000,40.000000,20.095899,2.348141,6.843854,9.991027,0.000000,1.570796
0.010000,40.000000,20.164837,2.417079,6.943764,9.991027,-0.000000,1.570796
0.010000,40.000000,20.234774,2.487016,7.043674,9.991027,0.000000,1.570796
0.010000,40.000000,20.305710,2.557953,7.143585,9.991027,-0.000000,1.570796
0.010000,40.000000,20.377646,2.629888,7.243495,9.991027,0.000000,1.570796
0.010000,40.000000,20.450580,2.702823,7.343405,9.991027,-0.000000,1.570796
0.010000,40.000000,20.524514,2.776756,7.443315,9.991027,0.000000,1.570796
0.010000,40.000000,20.599446,2.851689,7.543226,9.991027,0.000000,1.570796
0.010000,40.000000,20.675378,2.927621,7.643136,9.991027,-0.000000,1.570796
0.010000,40.000000,20.752309,3.004552,7.743046,9.991027,0.000000,1.570796
0.010000,40.000000,20.830239,3.082482,7.842956,9.991027,0.000000,1.570796
